province, go
MISAMIS ORIENTAL,104300000
SORSOGON,56200000
BILIRAN,87800000
SURIGAO DEL NORTE,166700000
MARINDUQUE,174000000
AURORA,37700000
BENGUET,141100000
"NCR, THIRD DISTRICT (Not a Province)",137500000
DAVAO DEL NORTE,112300000
ZAMBOANGA DEL NORTE,97200000
PALAWAN,175300000
CAMARINES SUR,51700000
MASBATE,54100000
RIZAL,45800000
NUEVA ECIJA,34900000
BULACAN,31400000
ROMBLON,175900000
TAWI-TAWI,157000000
DINAGAT ISLANDS,168500000
LANAO DEL NORTE,103500000
QUEZON,45600000
"NCR, SECOND DISTRICT (Not a Province)",137400000
ANTIQUE,60600000
MISAMIS OCCIDENTAL,104200000
CEBU,72200000
BUKIDNON,101300000
COTABATO (NORTH COTABATO),124700000
NEGROS ORIENTAL,74600000
SAMAR (WESTERN SAMAR),86000000
GUIMARAS,67900000
SARANGANI,128000000
"NCR, FOURTH DISTRICT (Not a Province)",137600000
SOUTHERN LEYTE,86400000
KALINGA,143200000
CAMIGUIN,101800000
CAVITE,42100000
CATANDUANES,52000000
SULU,156600000
ALBAY,50500000
ZAMBOANGA DEL SUR,97300000
LA UNION,13300000
TARLAC,36900000
PANGASINAN,15500000
DAVAO ORIENTAL,112500000
QUIRINO,25700000
BATANES,20900000
ISABELA,23100000
AGUSAN DEL NORTE,160200000
ILOCOS NORTE,12800000
NORTHERN SAMAR,84800000
NEGROS OCCIDENTAL,64500000
MOUNTAIN PROVINCE,144400000
BASILAN,150700000
DAVAO DEL SUR,112400000
ORIENTAL MINDORO,175200000
BATANGAS,41000000
SOUTH COTABATO,126300000
ZAMBALES,37100000
MAGUINDANAO,153800000
EASTERN SAMAR,82600000
CAMARINES NORTE,51600000
NUEVA VIZCAYA,25000000
IFUGAO,142700000
LAGUNA,43400000
BATAAN,30800000
OCCIDENTAL MINDORO,175100000
COTABATO CITY (Not a Province),129800000
SURIGAO DEL SUR,166800000
COMPOSTELA VALLEY,118200000
ILOCOS SUR,12900000
BOHOL,71200000
CAPIZ,61900000
ILOILO,63000000
LEYTE,83700000
SIQUIJOR,76100000
AGUSAN DEL SUR,160300000
PAMPANGA,35400000
CITY OF MANILA,133900000
ABRA,140100000
SULTAN KUDARAT,126500000
CAGAYAN,21500000
AKLAN,60400000
ZAMBOANGA SIBUGAY,98300000
LANAO DEL SUR,153600000
APAYAO,148100000
